step,balanced_accuracy
0,0.25716403
1,0.48010364
2,0.5376678
3,0.55098885
4,0.5588303
5,0.56112576
6,0.5624226
7,0.5653712
8,0.5747319
9,0.5775704
10,0.5845269
11,0.5915784
12,0.5930868
13,0.600255
14,0.6152572
15,0.6172737
16,0.6235539
17,0.6291581
18,0.6279735
19,0.62666595
20,0.626936
21,0.6311812
22,0.63676137
23,0.6416909
24,0.64145213
25,0.64213425
26,0.64142275
27,0.6398721
28,0.63853204
29,0.63995945
30,0.63890904
31,0.6380967
32,0.64062154
33,0.64507806
34,0.6416689
35,0.64688486
