step,balanced_accuracy
0,0.6548411
1,0.6526514
2,0.6465334
3,0.6411236
4,0.6485725
5,0.6519049
6,0.65720797
7,0.6535515
8,0.65432894
9,0.65225357
10,0.65643394
11,0.65704966
12,0.6629764
13,0.66054547
14,0.65881366
15,0.66006
16,0.6629577
17,0.661598
18,0.65850437
19,0.65931606
20,0.6593631
21,0.6583126
22,0.6589284
23,0.65596503
24,0.65534925
25,0.65578395
26,0.6560756
27,0.6554599
28,0.6536126
29,0.65609044
30,0.6567062
31,0.6565103
32,0.6579377
33,0.6567062
34,0.6579377
35,0.65485895
