step,balanced_accuracy
0,0.64688486
1,0.63743955
2,0.64640003
3,0.644743
4,0.64574295
5,0.6457233
6,0.6528991
7,0.6490778
8,0.65261644
9,0.65484077
10,0.65527046
11,0.6459304
12,0.6489657
13,0.64682674
14,0.6471187
15,0.65190464
16,0.65740556
17,0.6604571
18,0.6548151
19,0.6559163
20,0.65829813
21,0.6561317
22,0.6540885
23,0.65081376
24,0.6554012
25,0.658405
26,0.6625187
27,0.6637502
28,0.66142994
29,0.6600025
30,0.6644095
31,0.6611348
32,0.66114956
33,0.65905327
34,0.65861857
35,0.6633636
