stage,dataset_id,dataset_name,initial_balanced_accuracy,final_balanced_accuracy
step8_g_dynamic_init,18,18,0.7803776683087027,0.7857142857142857
step8_g_dynamic_init,171,171,0.40277777777777773,0.3923611111111111
step8_g_dynamic_init,181,yeast,0.5989743589743589,0.5992307692307692
step8_g_dynamic_init,307,307,0.8703703703703702,0.8950617283950616
step8_g_dynamic_init,469,analcatdatadmft,0.16194581280788178,0.17323481116584563
step8_g_dynamic_init,478,478,0.6805555555555557,0.6736111111111112
step8_g_dynamic_init,504,analcatdatasupreme,0.7758620689655172,0.9252873563218391
step8_g_dynamic_init,546,sensory,0.21578947368421053,0.24210526315789474
step8_g_dynamic_init,1549,autoUnivau,0.1847826086956522,0.17753623188405798
