stage,dataset_id,dataset_name,initial_balanced_accuracy,final_balanced_accuracy
step6_g_supervised_init,18,18,0.7563628899835798,0.8148604269293923
step6_g_supervised_init,171,171,0.45694444444444443,0.4694444444444445
step6_g_supervised_init,181,yeast,0.613076923076923,0.6392307692307693
step6_g_supervised_init,307,307,0.6604938271604939,0.7716049382716049
step6_g_supervised_init,469,analcatdatadmft,0.2144909688013136,0.21428571428571427
step6_g_supervised_init,478,478,0.5902777777777778,0.625
step6_g_supervised_init,504,analcatdatasupreme,0.5114942528735632,0.6551724137931034
step6_g_supervised_init,546,sensory,0.24078947368421053,0.27675438596491225
step6_g_supervised_init,1549,autoUnivau,0.19867149758454108,0.17028985507246377
