step,balanced_accuracy
0,0.3956265
1,0.39591023
2,0.39396188
3,0.39480406
4,0.40133768
5,0.39869046
6,0.4002091
7,0.40310937
8,0.4067028
9,0.4043477
10,0.3999806
11,0.40472436
12,0.40349087
13,0.40106317
14,0.4044621
15,0.40188092
16,0.40414348
17,0.40502945
18,0.4044065
19,0.40691313
20,0.40648252
21,0.40551943
22,0.40537733
23,0.40877312
24,0.40770587
25,0.4043053
26,0.40731066
27,0.40812793
28,0.4088516
29,0.40874153
30,0.40785965
