step,balanced_accuracy
0,0.43088856
1,0.43351746
2,0.43582478
3,0.4343602
4,0.4313031
5,0.4305182
6,0.42797595
7,0.42774624
8,0.42968392
9,0.42685938
10,0.4271169
11,0.43056804
12,0.4312499
13,0.43166643
14,0.42965385
15,0.42973167
16,0.42889735
17,0.42932254
18,0.43004674
19,0.42895326
20,0.42865857
21,0.42893952
22,0.42876533
23,0.42928043
24,0.42824897
25,0.42798606
26,0.4295067
27,0.42898136
28,0.42681313
29,0.42771068
30,0.42724913
