step,balanced_accuracy
0,0.25252062
1,0.43807137
2,0.48298422
3,0.49554962
4,0.5028128
5,0.5116429
6,0.51453733
7,0.5285658
8,0.5278281
9,0.528334
10,0.533982
11,0.5323431
12,0.53653014
13,0.54171884
14,0.54651904
15,0.5550678
16,0.56037164
17,0.5671952
18,0.5711198
19,0.57188797
20,0.5679318
21,0.5716747
22,0.5742177
23,0.57652503
24,0.5741389
25,0.573501
26,0.5718882
27,0.5755926
28,0.57950103
29,0.57962674
30,0.58207905
