step,balanced_accuracy
0,0.5806212
1,0.58087564
2,0.5922707
3,0.58760595
4,0.58330446
5,0.57890594
6,0.576875
7,0.5811446
8,0.5872714
9,0.59330666
10,0.58954614
11,0.58872086
12,0.5821058
13,0.58013856
14,0.5896359
15,0.5863059
16,0.5892274
17,0.5858987
18,0.5852414
19,0.5895706
20,0.5923939
21,0.5934656
22,0.5905664
23,0.59073293
24,0.59096545
25,0.5890973
26,0.58749795
27,0.59020495
28,0.5927979
29,0.5939436
30,0.5956452
