step,balanced_accuracy
0,0.58987933
1,0.59240454
2,0.58805907
3,0.59000367
4,0.5909408
5,0.5903038
6,0.5900607
7,0.5828085
8,0.5860745
9,0.57986647
10,0.581998
11,0.58448243
12,0.58589095
13,0.58658826
14,0.584767
15,0.58639634
16,0.58488965
17,0.58516896
18,0.5920241
19,0.59169316
20,0.5944724
21,0.5946569
22,0.5982821
23,0.5990765
24,0.6002152
25,0.59950495
26,0.6005826
27,0.6019178
28,0.6000774
29,0.5986569
30,0.5996971
