train_loss,balanced_accuracy,dataset_id
0.7938601970672607,0.4852941176470588,7
1.2915623188018799,0.27586206896551724,209
0.8612585663795471,0.5517241379310345,181
0.9361931085586548,0.4853846153846154,171
0.7629220485687256,0.49137931034482757,54
1.1367440223693848,0.30194805194805197,224
7.120697021484375,0.411764705882353,7
1.0043678283691406,0.45689655172413796,188
0.32994288206100464,0.7052631578947368,21
1.206641435623169,0.5147058823529412,7
0.5112363696098328,0.7045454545454546,173
0.7619112133979797,0.43658088235294124,452
1.336512565612793,0.43103448275862066,188
2.079329252243042,0.2413793103448276,209
1.0317554473876953,0.4482758620689655,188
1.5114023685455322,0.25,209
0.5311485528945923,0.6818181818181819,173
0.5624845027923584,0.6724137931034483,18
2.244899272918701,0.3111471861471861,224
1.1293307542800903,0.4488461538461539,171
0.4945797026157379,0.7045454545454546,173
0.4202599823474884,0.6928104575163399,39
0.5870643854141235,0.6379310344827586,18
1.0811182260513306,0.353448275862069,307
1.3689684867858887,0.14655172413793102,209
1.3093314170837402,0.5689655172413793,181
3.4538650512695312,0.4482758620689655,54
1.3275235891342163,0.30086580086580084,224
0.5036541223526001,0.6931818181818182,173
0.9856442213058472,0.4473076923076923,171
0.9732280373573303,0.4669230769230769,171
3.77783203125,0.4973684210526316,21
1.2870763540267944,0.4117647058823529,7
0.4792350232601166,0.7045454545454546,173
1.216688632965088,0.4137931034482759,307
1.269129753112793,0.36764705882352944,7
1.2692234516143799,0.3241341991341991,224
1.264177680015564,0.3246753246753247,224
0.25032615661621094,0.8977272727272727,35
1.0533628463745117,0.5517241379310345,181
0.9041956663131714,0.7068965517241379,18
1.3638821840286255,0.23275862068965517,209
1.458423376083374,0.3620689655172414,188
0.6439356803894043,0.6797385620915033,39
1.219605803489685,0.5,7
1.3070050477981567,0.3244485294117647,452
0.9487690925598145,0.495,171
1.1768455505371094,0.37931034482758624,307
1.0328680276870728,0.5344827586206896,181
1.3624964952468872,0.21551724137931033,209
1.361911654472351,0.22413793103448276,209
0.8377698063850403,0.5526315789473685,21
0.5047618746757507,0.6928104575163399,39
0.9073196053504944,0.4753846153846154,171
0.902380108833313,0.4753846153846154,171
0.3583924174308777,0.9654761904761906,1
0.4982207119464874,0.6931818181818182,173
1.204207420349121,0.603448275862069,18
